Category,URL,Source,Time_Spent_Minutes,Upvotes,Views,Engagement_Score,Content_Type,Difficulty_Level,Trending_Score,Preview_Image_URL
Assessing Fashion Needs,https://www.instagram.com/reel/DOxv97ZisjR/,Instagram,8.5,127,2340,0.89,Video,Intermediate,0.92,
Assessing Fashion Needs,https://www.instagram.com/reel/DKZ8mbhqgFO/,Instagram,6.2,89,1890,0.76,Video,Beginner,0.78,
Assessing Fashion Needs,https://www.instagram.com/reel/DJ2JpMoyQhh/,Instagram,7.8,156,3120,0.85,Video,Intermediate,0.88,
Assessing Fashion Needs,https://www.tiktok.com/@stylingwithkenzie/video/7477320164615212319,Tiktok,4.3,203,4560,0.91,Video,Beginner,0.95,/previews/assessing-fashion-needs-3-1762623691141.jpg
Assessing Fashion Needs,https://www.tiktok.com/@bradendaily/video/7497348989700902174,Tiktok,5.1,178,3890,0.87,Video,Intermediate,0.89,/previews/assessing-fashion-needs-4-1762623694826.jpg
Assessing Fashion Needs,https://www.tiktok.com/@timdessaint/video/7116884769341803782,Tiktok,6.7,234,5120,0.94,Video,Advanced,0.96,/previews/assessing-fashion-needs-5-1762623697790.jpg
Assessing Fashion Needs,https://fashionchitchat.substack.com/p/i-have-nothing-to-wear?utm_campaign=post&utm_medium=web,Substack,12.4,67,890,0.72,Article,Intermediate,0.65,"https://substackcdn.com/image/fetch/$s_!viYV!,w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fd0046e69-e947-47a3-b03c-410948e79da9_3300x2550.heic"
Assessing Fashion Needs,https://substack.com/home/post/p-149560490?utm_campaign=post&utm_medium=web,Substack,15.2,45,670,0.68,Article,Advanced,0.58,
Assessing Fashion Needs,https://misplacedstyle.substack.com/p/create-your-style-strategy,Substack,18.7,89,1230,0.81,Article,Advanced,0.72,"https://substackcdn.com/image/fetch/$s_!tf8S!,w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F5ad22379-acc6-4604-8f33-4c051c3e2505.heic"
Assessing Fashion Needs,https://lilacreign.substack.com/p/the-psychology-of-personal-style,Substack,22.1,134,1890,0.88,Article,Advanced,0.85,"https://substackcdn.com/image/fetch/$s_!0Hds!,w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-video.s3.amazonaws.com%2Fvideo_upload%2Fpost%2F160630496%2Fddacb00f-caee-4e76-9440-06f87583a3b1%2Ftranscoded-1743836250.png"
